beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count
1.0,1.0,66,5.0,5.0,5.0,5.0,5.0,4.9,41.0
1.0,1.0,62,4.9,5.0,4.9,5.0,5.0,4.9,19.0
1.0,1.0,41,4.9,4.9,5.0,5.0,5.0,4.9,42.0
5.0,1.0,72,4.8,4.9,4.9,5.0,5.0,4.9,49.0
1.0,1.0,95,5.0,5.0,5.0,5.0,5.0,4.9,29.0
3.0,1.0,89,4.9,5.0,5.0,5.0,5.0,4.9,46.0
3.0,1.0,112,5.0,5.0,5.0,4.9,5.0,4.8,39.0
1.0,1.0,66,4.9,4.9,4.9,4.9,4.9,4.9,23.0
1.0,1.0,44,5.0,5.0,5.0,4.9,5.0,5.0,39.0
3.0,1.0,130,5.0,5.0,5.0,5.0,5.0,5.0,53.0
4.0,1.0,264,4.9,4.9,5.0,5.0,4.9,4.6,34.0
7.0,2.0,196,4.9,4.9,5.0,4.9,4.9,4.8,30.0
1.0,1.0,105,5.0,5.0,5.0,5.0,5.0,4.9,23.0
1.0,1.0,135,5.0,5.0,5.0,5.0,5.0,4.9,28.0
1.0,1.0,80,4.5,4.8,4.9,4.8,4.9,4.5,20.0
1.0,1.0,172,4.8,4.8,4.9,4.9,4.9,4.5,23.0
2.0,1.0,138,5.0,5.0,5.0,5.0,5.0,4.9,35.0
1.0,1.0,158,4.9,5.0,4.9,5.0,4.9,4.8,22.0
3.0,1.0,150,4.9,4.9,5.0,5.0,5.0,4.8,50.0
2.0,1.5,110,4.9,4.9,5.0,5.0,5.0,4.8,32.0
1.0,1.0,90,4.9,4.9,5.0,4.9,5.0,4.8,37.0
1.0,1.0,144,5.0,5.0,5.0,5.0,5.0,4.9,39.0
1.0,1.0,107,5.0,5.0,5.0,5.0,5.0,4.8,27.0
1.0,1.0,95,4.9,5.0,5.0,5.0,5.0,4.8,26.0
1.0,1.0,132,5.0,5.0,5.0,5.0,5.0,4.9,32.0
1.0,1.0,125,5.0,5.0,5.0,5.0,5.0,4.9,24.0
3.0,2.0,255,4.9,5.0,5.0,4.9,5.0,4.8,30.0
7.0,2.0,137,4.7,4.8,5.0,4.7,4.9,4.7,44.0
1.0,1.0,140,5.0,4.9,5.0,4.9,5.0,4.9,38.0
1.0,1.0,93,5.0,5.0,5.0,5.0,5.0,4.9,45.0
2.0,1.0,124,5.0,5.0,5.0,5.0,5.0,4.8,26.0
1.0,1.0,78,4.8,4.9,5.0,5.0,4.9,4.8,17.0
1.0,1.0,132,5.0,5.0,5.0,5.0,5.0,4.9,35.0
2.0,1.0,120,5.0,5.0,5.0,4.9,5.0,4.7,40.0
2.0,1.0,69,4.8,4.9,5.0,4.9,5.0,4.8,41.0
1.0,1.0,108,5.0,5.0,5.0,4.9,5.0,5.0,36.0
2.0,1.0,95,5.0,5.0,4.9,4.9,4.9,4.8,33.0
1.0,1.0,150,5.0,5.0,5.0,5.0,5.0,5.0,48.0
3.0,1.5,168,4.9,5.0,5.0,5.0,5.0,4.8,53.0
2.0,1.0,71,5.0,5.0,5.0,4.9,5.0,4.9,46.0
1.0,1.0,143,5.0,5.0,4.9,5.0,5.0,4.8,47.0
1.0,1.5,135,4.9,5.0,4.9,4.9,4.9,4.8,21.0
1.0,1.0,143,4.7,4.8,4.8,4.8,4.8,4.8,19.0
1.0,1.0,102,5.0,5.0,4.9,5.0,4.9,4.9,17.0
3.0,1.0,50,4.9,4.9,4.8,4.9,4.9,4.9,30.0
1.0,1.0,120,5.0,5.0,5.0,5.0,5.0,4.9,36.0
3.0,1.0,177,5.0,5.0,5.0,5.0,5.0,4.7,26.0
2.0,1.0,150,4.9,4.8,5.0,4.7,5.0,4.8,23.0
1.0,1.0,125,5.0,5.0,5.0,5.0,5.0,5.0,44.0
6.0,2.0,312,5.0,4.9,5.0,5.0,5.0,4.7,66.0
1.0,1.0,97,4.9,4.8,5.0,4.8,5.0,4.4,14.0
3.0,1.0,75,4.9,5.0,5.0,4.9,5.0,4.9,25.0
5.0,2.0,209,4.7,4.9,4.9,4.9,5.0,4.8,39.0
1.0,1.0,91,5.0,5.0,5.0,5.0,5.0,4.9,53.0
1.0,1.0,58,4.9,4.8,4.9,4.9,4.9,4.7,26.0
4.0,2.0,119,4.6,4.9,4.6,4.8,4.8,4.5,33.0
3.0,1.5,78,4.9,5.0,5.0,4.9,5.0,4.9,31.0
